category,scope,year,count
M4,인제대,2016,2
M4,인제대,2017,1
M4,인제대,2018,0
M4,인제대,2019,1
M4,인제대,2020,0
M4,인제대,2021,2
M4,인제대,2022,1
M4,인제대,2023,3
M4,인제대,2024,5
M4,인제대,2025,5
M4,경북대,2016,1
M4,경북대,2017,1
M4,경북대,2018,4
M4,경북대,2019,3
M4,경북대,2020,9
M4,경북대,2021,4
M4,경북대,2022,4
M4,경북대,2023,1
M4,경북대,2024,2
M4,경북대,2025,1
M4,부산대,2016,3
M4,부산대,2017,0
M4,부산대,2018,5
M4,부산대,2019,0
M4,부산대,2020,1
M4,부산대,2021,2
M4,부산대,2022,1
M4,부산대,2023,1
M4,부산대,2024,0
M4,부산대,2025,1
M4,한양대,2016,3
M4,한양대,2017,4
M4,한양대,2018,2
M4,한양대,2019,1
M4,한양대,2020,3
M4,한양대,2021,0
M4,한양대,2022,0
M4,한양대,2023,0
M4,한양대,2024,1
M4,한양대,2025,2
M4,순천향대,2016,0
M4,순천향대,2017,1
M4,순천향대,2018,0
M4,순천향대,2019,0
M4,순천향대,2020,1
M4,순천향대,2021,1
M4,순천향대,2022,0
M4,순천향대,2023,1
M4,순천향대,2024,4
M4,순천향대,2025,1
M4,아주대,2016,2
M4,아주대,2017,1
